# Error, Accuracy
5.425776847519570900e+00,6.999999999999999556e-01
5.424468160777641934e+00,6.999999999999999556e-01
5.423167607033896331e+00,6.999999999999999556e-01
5.421875102350084852e+00,6.999999999999999556e-01
5.420590564249597954e+00,6.999999999999999556e-01
5.419313911721812538e+00,6.999999999999999556e-01
5.418045065223495271e+00,6.999999999999999556e-01
5.416783946677376171e+00,6.999999999999999556e-01
5.415530479468160685e+00,6.999999999999999556e-01
5.414284588435795520e+00,6.999999999999999556e-01
5.413046199866257346e+00,6.999999999999999556e-01
5.411815241479949634e+00,6.999999999999999556e-01
5.410591642417706737e+00,6.999999999999999556e-01
5.409375333224637039e+00,6.999999999999999556e-01
5.408166245831797170e+00,6.999999999999999556e-01
5.406964313535926436e+00,6.999999999999999556e-01
5.405769470977222824e+00,6.999999999999999556e-01
5.404581654115375500e+00,6.999999999999999556e-01
5.403400800203930210e+00,6.999999999999999556e-01
5.402226847763077267e+00,6.999999999999999556e-01
5.401059736551029999e+00,6.999999999999999556e-01
5.399899407534032747e+00,6.999999999999999556e-01
5.398745802855194675e+00,6.999999999999999556e-01
5.397598865802162749e+00,6.999999999999999556e-01
5.396458540773848789e+00,6.999999999999999556e-01
5.395324773246233718e+00,6.999999999999999556e-01
5.394197509737349350e+00,6.999999999999999556e-01
5.393076697771648220e+00,6.999999999999999556e-01
5.391962285843709957e+00,6.999999999999999556e-01
5.390854223381475130e+00,6.999999999999999556e-01
5.389752460709110515e+00,6.999999999999999556e-01
5.388656949009533292e+00,6.999999999999999556e-01
5.387567640286697213e+00,6.999999999999999556e-01
5.386484487327820148e+00,6.999999999999999556e-01
5.385407443665449101e+00,6.999999999999999556e-01
5.384336463539670881e+00,6.999999999999999556e-01
5.383271501860305897e+00,6.999999999999999556e-01
5.382212514169380846e+00,6.999999999999999556e-01
5.381159456603811009e+00,6.999999999999999556e-01
5.380112285858344556e+00,6.999999999999999556e-01
5.379070959148973152e+00,6.999999999999999556e-01
5.378035434176752894e+00,6.999999999999999556e-01
5.377005669092066675e+00,6.999999999999999556e-01
5.375981622459563347e+00,6.999999999999999556e-01
5.374963253223543624e+00,6.999999999999999556e-01
5.373950520674185327e+00,6.999999999999999556e-01
5.372943384414328172e+00,6.999999999999999556e-01
5.371941804327115655e+00,6.999999999999999556e-01
5.370945740544336822e+00,6.999999999999999556e-01
5.369955153415722826e+00,6.999999999999999556e-01
5.368970003479001996e+00,6.999999999999999556e-01
5.367990251430936333e+00,6.999999999999999556e-01
5.367015858099296821e+00,6.999999999999999556e-01
5.366046784415780202e+00,6.999999999999999556e-01
5.365082991389961364e+00,6.999999999999999556e-01
5.364124440084260925e+00,6.999999999999999556e-01
5.363171091589996387e+00,6.999999999999999556e-01
5.362222907004439598e+00,6.999999999999999556e-01
5.361279847409066157e+00,6.999999999999999556e-01
5.360341873848852856e+00,6.999999999999999556e-01
5.359408947312734206e+00,6.999999999999999556e-01
5.358481028715197603e+00,6.999999999999999556e-01
5.357558078879026908e+00,6.999999999999999556e-01
5.356640058519256620e+00,6.999999999999999556e-01
5.355726928228231820e+00,6.999999999999999556e-01
5.354818648461908026e+00,6.999999999999999556e-01
5.353915179527292345e+00,6.999999999999999556e-01
5.353016481571153840e+00,6.999999999999999556e-01
5.352122514569781053e+00,6.999999999999999556e-01
5.351233238320067365e+00,6.999999999999999556e-01
5.350348612431680806e+00,6.999999999999999556e-01
5.349468596320480884e+00,6.999999999999999556e-01
5.348593149203011876e+00,6.999999999999999556e-01
5.347722230092242235e+00,6.999999999999999556e-01
5.346855797794423104e+00,6.999999999999999556e-01
5.345993810907036625e+00,6.999999999999999556e-01
5.345136227817914865e+00,6.999999999999999556e-01
5.344283006705405903e+00,6.999999999999999556e-01
5.343434105539690115e+00,6.999999999999999556e-01
5.342589482085078778e+00,6.999999999999999556e-01
5.341749093903355394e+00,6.999999999999999556e-01
5.340912898358191718e+00,6.999999999999999556e-01
5.340080852620459062e+00,6.999999999999999556e-01
5.339252913674553902e+00,6.999999999999999556e-01
5.338429038325627651e+00,6.999999999999999556e-01
5.337609183207646879e+00,6.999999999999999556e-01
5.336793304792437631e+00,6.999999999999999556e-01
5.335981359399404766e+00,6.999999999999999556e-01
5.335173303206168782e+00,6.999999999999999556e-01
5.334369092259801270e+00,6.999999999999999556e-01
5.333568682488906809e+00,6.999999999999999556e-01
5.332772029716281281e+00,6.999999999999999556e-01
5.331979089672198135e+00,6.999999999999999556e-01
5.331189818008311931e+00,6.999999999999999556e-01
5.330404170312053047e+00,6.999999999999999556e-01
5.329622102121501115e+00,6.999999999999999556e-01
5.328843568940720310e+00,6.999999999999999556e-01
5.328068526255533399e+00,6.999999999999999556e-01
5.327296929549486748e+00,6.999999999999999556e-01
5.326528734320281622e+00,6.999999999999999556e-01
5.325763896096334271e+00,6.999999999999999556e-01
5.325002370453570499e+00,6.999999999999999556e-01
5.324244113032371217e+00,6.999999999999999556e-01
5.323489079554528658e+00,6.999999999999999556e-01
5.322737225840402431e+00,6.999999999999999556e-01
5.321988507825901493e+00,6.999999999999999556e-01
5.321242881579458128e+00,6.999999999999999556e-01
5.320500303318952184e+00,6.999999999999999556e-01
5.319760729428372414e+00,6.999999999999999556e-01
5.319024116474317054e+00,6.999999999999999556e-01
5.318290421222227060e+00,6.999999999999999556e-01
5.317559600652299601e+00,6.999999999999999556e-01
5.316831611975016969e+00,6.999999999999999556e-01
5.316106412646281143e+00,6.999999999999999556e-01
5.315383960382115802e+00,6.999999999999999556e-01
5.314664213172799911e+00,6.999999999999999556e-01
5.313947129296487937e+00,6.999999999999999556e-01
5.313232667332200343e+00,6.999999999999999556e-01
5.312520786172258092e+00,6.999999999999999556e-01
5.311811445033865375e+00,6.999999999999999556e-01
5.311104603470108820e+00,6.999999999999999556e-01
5.310400221380120023e+00,6.999999999999999556e-01
5.309698259018404087e+00,6.999999999999999556e-01
5.308998677003333277e+00,6.999999999999999556e-01
5.308301436324755151e+00,6.999999999999999556e-01
5.307606498350618374e+00,6.999999999999999556e-01
5.306913824832645510e+00,6.999999999999999556e-01
5.306223377910976424e+00,6.999999999999999556e-01
5.305535120117753856e+00,6.999999999999999556e-01
5.304849014379610317e+00,6.999999999999999556e-01
5.304165024019007468e+00,6.999999999999999556e-01
5.303483112754387108e+00,6.999999999999999556e-01
5.302803244699162200e+00,6.999999999999999556e-01
5.302125384359308136e+00,6.999999999999999556e-01
5.301449496629818903e+00,6.999999999999999556e-01
5.300775546789654236e+00,6.999999999999999556e-01
5.300103500495434439e+00,6.999999999999999556e-01
5.299433323773517834e+00,6.999999999999999556e-01
5.298764983010761931e+00,6.999999999999999556e-01
5.298098444943566854e+00,6.999999999999999556e-01
5.297433676645435519e+00,6.999999999999999556e-01
5.296770645512750342e+00,6.999999999999999556e-01
5.296109319248881953e+00,6.999999999999999556e-01
5.295449665846445164e+00,6.999999999999999556e-01
